model_id,display_name,seed,protocol,source_dir,architecture,components,notes,availability,source_checkpoint,packaged_checkpoint,best_epoch,size_bytes,sha256
baseline_unet3d,3D U-Net,55,main_experiment,Unet,UNet3d,baseline,Original directory uses Unet,available,/root/autodl-tmp/Unet/best_model_98.pth,weights/baseline_unet3d/seed_55/best_model_epoch_098.pth,98,22638245,78fc0a304c6178ff88c3862f3d184bc1e07fe97a5457d119d3dbaf2b11b7b252
baseline_resunet3d,3D ResUNet,55,main_experiment,ResUNet_model,ResUNet3d,baseline,,available,/root/autodl-tmp/ResUNet_model/best_model_132.pth,weights/baseline_resunet3d/seed_55/best_model_epoch_132.pth,132,23086929,8e876d9116e157398f38b0c421b124d85495dc19d53952f6da94762cfa16e127
baseline_attention_unet3d,3D Attention U-Net,55,main_experiment,.autodl/attention-unet,AttUNet3d,baseline,Actual directory differs from legacy config,available,/root/autodl-tmp/.autodl/attention-unet/best_model_140.pth,weights/baseline_attention_unet3d/seed_55/best_model_epoch_140.pth,140,24307671,2553df0232fcdd29c4df694229e1f99fb3a09fcca77030768c53b43d533d4ef4
baseline_nnunet3d,3D nnU-Net,55,main_experiment,nnUnet,nnUNet3d,baseline,Actual directory differs from legacy config,available,/root/autodl-tmp/nnUnet/best_model_188.pth,weights/baseline_nnunet3d/seed_55/best_model_epoch_188.pth,188,33427413,5cac9ba88cfa97ba21d3363d22a9b37521c3318d79bf49eb42e492d29909dc40
baseline_resunet3d,3D ResUNet,42,stability_runner,stability/seed42/baseline,ResUNet3d,baseline,Seed-matched reference for stability experiments,available,/root/autodl-tmp/stability/seed42/baseline/best_model_149.pth,weights/baseline_resunet3d/seed_42/best_model_epoch_149.pth,149,23086929,c4a250b872f669a73d40d6bbb9bb88f2b84998344360890ee655230957c22c99
baseline_resunet3d,3D ResUNet,123,stability_runner,stability/seed123/baseline,ResUNet3d,baseline,Seed-matched reference for stability experiments,available,/root/autodl-tmp/stability/seed123/baseline/best_model_79.pth,weights/baseline_resunet3d/seed_123/best_model_epoch_079.pth,79,23086842,6aeb5756b53b0e79b2699016412961923960ec0710a9074326346337484a7b48
resunet_lhfc,ResUNet + LHFC,55,main_experiment,ResUNet_Edge_concat_laplacian_model,ResUNetEdge,LHFC,,available,/root/autodl-tmp/ResUNet_Edge_concat_laplacian_model/best_model_55.pth,weights/resunet_lhfc/seed_55/best_model_epoch_055.pth,55,25210925,85cdaad9a3bbd4f4a9cf87e652dd91612b51d71f7e1463dff71a3aa3f360f434
resunet_lhfc,ResUNet + LHFC,42,stability_runner,stability/seed42/edge_laplacian_concat,ResUNetEdge,LHFC,,available,/root/autodl-tmp/stability/seed42/edge_laplacian_concat/best_model_35.pth,weights/resunet_lhfc/seed_42/best_model_epoch_035.pth,35,25210925,cc4e9a9b4cc12e5fe902459ea10d62e358d9464632c1b00d417e593e97409f62
resunet_lhfc,ResUNet + LHFC,123,stability_runner,stability/seed123/edge_laplacian_concat,ResUNetEdge,LHFC,,available,/root/autodl-tmp/stability/seed123/edge_laplacian_concat/best_model_10.pth,weights/resunet_lhfc/seed_123/best_model_epoch_010.pth,10,25210925,0960fa6172708e5260cbaad88510de5a02e06fd9d55887883f6af9b15482e550
resunet_lhfc_abs_lb0p05,ResUNet + LHFC + ABS (lambda_b=0.05),55,main_experiment,ResUNet_HFConcatBoundary_w0.05_model,ResUNetHFConcatBoundary,LHFC + ABS(lambda_b=0.05),,available,/root/autodl-tmp/ResUNet_HFConcatBoundary_w0.05_model/best_model_44.pth,weights/resunet_lhfc_abs_lb0p05/seed_55/best_model_epoch_044.pth,44,25275651,4210161ca56bedcbe21067a1bbc2e90e563ea29e0d7f7e794009021652e68788
