case_id,model_key,model,gt_et_voxels,pred_et_voxels,et_dice,hd95_mm,boundary_dice,boundary_valid,small_gt_lesions,small_detected_lesions,small_missed_lesions,small_gt_anchored_dice
BraTS20_Training_035,baseline,Baseline,24262,33776,0.7643957407215962,2.449489742783178,0.7826606245828504,True,1,0,1,0.0
BraTS20_Training_035,lhfc,LHFC,24262,33488,0.7748225108225109,2.23606797749979,0.8226435390614495,True,1,0,1,0.0
BraTS20_Training_035,full,Full,24262,35109,0.7606407168482929,2.449489742783178,0.7825230852797392,True,1,0,1,0.0
BraTS20_Training_089,baseline,Baseline,18581,17327,0.9568898295644425,62.808436609048165,0.9269811614510354,True,1,0,1,0.0
BraTS20_Training_089,lhfc,LHFC,18581,16759,0.945217883418223,62.96943696716623,0.9270693512304251,True,1,0,1,0.0
BraTS20_Training_089,full,Full,18581,16698,0.9446979789676578,62.96943696716623,0.9272863568215892,True,1,0,1,0.0
BraTS20_Training_058,baseline,Baseline,6708,12968,0.5668835129091279,15.811388300841896,0.527537688442211,True,0,0,0,
BraTS20_Training_058,lhfc,LHFC,6708,12596,0.5864069622876088,11.74734012447073,0.5768372093023256,True,0,0,0,
BraTS20_Training_058,full,Full,6708,13805,0.5525276653829279,10.954451150103322,0.5380033780780514,True,0,0,0,
BraTS20_Training_298,baseline,Baseline,94,10,0.15384615384615385,24.045506426523477,0.3076923076923077,True,3,1,2,0.13333333333333333
BraTS20_Training_298,lhfc,LHFC,94,81,0.48,15.876018794218888,0.7894736842105263,True,3,1,2,0.15807560137457044
BraTS20_Training_298,full,Full,94,123,0.5161290322580645,15.524174696260024,0.8151658767772512,True,3,1,2,0.13333333333333333
BraTS20_Training_206,baseline,Baseline,5096,6561,0.8458436990649395,4.0,0.7459900845727617,True,0,0,0,
BraTS20_Training_206,lhfc,LHFC,5096,5539,0.8787964268923366,5.0,0.8481012658227848,True,0,0,0,
BraTS20_Training_206,full,Full,5096,5452,0.8934395145999242,3.2857553643179886,0.884648493543759,True,0,0,0,
BraTS20_Training_093,baseline,Baseline,24337,25450,0.9433386225319863,1.4142135623730951,0.9420902975241001,True,1,0,1,0.0
BraTS20_Training_093,lhfc,LHFC,24337,25042,0.9523886672472104,1.0,0.9768690349946978,True,1,1,0,0.05714285714285714
BraTS20_Training_093,full,Full,24337,25495,0.9484668486113341,1.4142135623730951,0.9690344873413516,True,1,0,1,0.0
BraTS20_Training_323,baseline,Baseline,4674,2459,0.00028038693396887705,30.343037800552786,0.001027221366204417,True,0,0,0,
BraTS20_Training_323,lhfc,LHFC,4674,907,0.0,44.76996450956309,0.0,True,0,0,0,
BraTS20_Training_323,full,Full,4674,1565,0.00032056419297964416,27.714605975265684,0.0014072614691809737,True,0,0,0,
BraTS20_Training_309,baseline,Baseline,1976,2626,0.5880052151238592,26.98610634484806,0.6015403323875153,True,4,1,3,0.05412371134020619
BraTS20_Training_309,lhfc,LHFC,1976,2654,0.6228941684665227,15.0,0.6755840241145441,True,4,2,2,0.17825174825174825
BraTS20_Training_309,full,Full,1976,2190,0.6442630820931349,37.359733643394605,0.6933502753070733,True,4,1,3,0.08235294117647059
BraTS20_Training_030,baseline,Baseline,6149,7711,0.7789321789321789,15.112899702493511,0.7344717897204085,True,0,0,0,
BraTS20_Training_030,lhfc,LHFC,6149,7939,0.7950028392958546,3.375615520268288,0.7858842188739096,True,0,0,0,
BraTS20_Training_030,full,Full,6149,7874,0.7895600085573701,3.4641016151377544,0.7785725639802893,True,0,0,0,
BraTS20_Training_231,baseline,Baseline,40450,32920,0.8917541229385307,2.449489742783178,0.7664828277763851,True,0,0,0,
BraTS20_Training_231,lhfc,LHFC,40450,35478,0.9084395743335791,4.283331076866813,0.8372401082762195,True,0,0,0,
BraTS20_Training_231,full,Full,40450,35728,0.911601774790622,4.123105625617661,0.8443428968070338,True,0,0,0,
BraTS20_Training_071,baseline,Baseline,11713,8951,0.8312040263259776,5.744562646538029,0.7364375461936438,True,0,0,0,
BraTS20_Training_071,lhfc,LHFC,11713,9337,0.8457957244655582,4.318208553793146,0.7904040404040404,True,0,0,0,
BraTS20_Training_071,full,Full,11713,9194,0.8412493423255369,5.0,0.7712071192765897,True,0,0,0,
BraTS20_Training_332,baseline,Baseline,1918,1076,0.7134268537074149,3.1622776601683795,0.6204918032786885,True,1,0,1,0.0
BraTS20_Training_332,lhfc,LHFC,1918,1332,0.7686153846153846,2.2574101540281335,0.7614814814814815,True,1,0,1,0.0
BraTS20_Training_332,full,Full,1918,1305,0.774433757368911,2.4873834809794877,0.7589820359281437,True,1,0,1,0.0
BraTS20_Training_018,baseline,Baseline,1695,3449,0.6411353032659409,14.89966442575134,0.6606189967982924,True,0,0,0,
BraTS20_Training_018,lhfc,LHFC,1695,2861,0.6979806848112379,15.470865354614848,0.7573663150236449,True,0,0,0,
BraTS20_Training_018,full,Full,1695,2861,0.6979806848112379,15.29378643894789,0.7580882352941176,True,0,0,0,
BraTS20_Training_112,baseline,Baseline,48172,49097,0.9433632503675374,1.4142135623730951,0.9509717780198924,True,1,0,1,0.0
BraTS20_Training_112,lhfc,LHFC,48172,48160,0.9589544491965287,1.0,0.9861967792484914,True,1,0,1,0.0
BraTS20_Training_112,full,Full,48172,48853,0.9555681525380056,1.0,0.9764015777230893,True,1,0,1,0.0
BraTS20_Training_193,baseline,Baseline,29758,553,0.0,79.22878260851947,0.0,True,0,0,0,
BraTS20_Training_193,lhfc,LHFC,29758,0,0.0,,,False,0,0,0,
BraTS20_Training_193,full,Full,29758,32,0.0021483719368915744,31.451549398647114,0.007748809427718137,True,0,0,0,
BraTS20_Training_101,baseline,Baseline,13927,13418,0.8324739440482721,6.708203932499369,0.8445336008024072,True,3,0,3,0.0
BraTS20_Training_101,lhfc,LHFC,13927,12415,0.8684989750208792,6.4031242374328485,0.8893638976929313,True,3,0,3,0.0
BraTS20_Training_101,full,Full,13927,12936,0.8653538324088895,5.916079783099616,0.8915777859507171,True,3,0,3,0.0
BraTS20_Training_174,baseline,Baseline,25207,23947,0.9301786222891321,2.23606797749979,0.9128413712957583,True,1,0,1,0.0
BraTS20_Training_174,lhfc,LHFC,25207,23958,0.9328587409742704,1.7320508075688772,0.9217426381605486,True,1,0,1,0.0
BraTS20_Training_174,full,Full,25207,23838,0.9311448669589153,2.0,0.9154426681814494,True,1,0,1,0.0
BraTS20_Training_026,baseline,Baseline,23676,25263,0.7103128384315168,6.4031242374328485,0.5296580970050357,True,0,0,0,
BraTS20_Training_026,lhfc,LHFC,23676,25226,0.7340804057093779,4.898979485566356,0.6238171132582927,True,0,0,0,
BraTS20_Training_026,full,Full,23676,24261,0.7070947284978201,5.385164807134504,0.590110217456062,True,0,0,0,
BraTS20_Training_223,baseline,Baseline,30477,31182,0.9485395481600415,1.4142135623730951,0.93722874135991,True,0,0,0,
BraTS20_Training_223,lhfc,LHFC,30477,28951,0.9377061317897287,1.4142135623730951,0.9472683001065287,True,0,0,0,
BraTS20_Training_223,full,Full,30477,28842,0.9384177076484769,1.4142135623730951,0.9492970730583083,True,0,0,0,
BraTS20_Training_340,baseline,Baseline,30930,29026,0.9395223163653346,1.0,0.9854318981857568,True,0,0,0,
BraTS20_Training_340,lhfc,LHFC,30930,29890,0.9488326208484051,1.0,0.9861540045295449,True,0,0,0,
BraTS20_Training_340,full,Full,30930,28674,0.9406751224750016,1.0,0.984749226979718,True,0,0,0,
BraTS20_Training_103,baseline,Baseline,37271,31757,0.8553050935852118,3.0,0.8421588594704684,True,0,0,0,
BraTS20_Training_103,lhfc,LHFC,37271,34804,0.899091224419008,2.23606797749979,0.9059312697679377,True,0,0,0,
BraTS20_Training_103,full,Full,37271,33894,0.8935291224618843,2.23606797749979,0.8987938793879388,True,0,0,0,
BraTS20_Training_021,baseline,Baseline,3003,6475,0.5944292044735177,3.605551275463989,0.49543914516549387,True,0,0,0,
BraTS20_Training_021,lhfc,LHFC,3003,5781,0.613615664845173,3.1622776601683795,0.563903743315508,True,0,0,0,
BraTS20_Training_021,full,Full,3003,7435,0.5441655489557387,4.846838554130624,0.41502808988764045,True,0,0,0,
