model,stratum,gt_lesions,detected,missed,matched_pairs,pred_lesions,fp,lesion_recall,miss_rate,matched_lesion_dice,gt_anchored_lesion_dice,n_cases_with_gt,n_cases_evaluated,n_gt_empty_cases,n_fp_only_cases,n_true_negative_cases
ResUNet (BCE–Dice),small,31,3,28,3,0,0,0.0967741935483871,0.9032258064516129,0.36846124474990455,0.035657539814506894,14,37,23,0,0
ResUNet (BCE–Dice),medium,36,21,15,21,0,0,0.5833333333333334,0.4166666666666667,0.6776968247239994,0.39532314775566635,16,37,21,0,0
ResUNet (BCE–Dice),large,26,25,1,25,0,0,0.9615384615384616,0.038461538461538464,0.8467116742296652,0.8141458406054473,25,37,12,0,0
ResUNet (BCE–Dice),all,93,49,44,49,95,46,0.5268817204301075,0.4731182795698925,0.7449961001876597,0.3925248269805949,37,37,0,0,0
ResUNet + LHFC,small,31,4,27,4,0,0,0.12903225806451613,0.8709677419354839,0.31109416356839037,0.040141182395921335,14,37,23,0,0
ResUNet + LHFC,medium,36,23,13,23,0,0,0.6388888888888888,0.3611111111111111,0.6884287295461889,0.43982946609895407,16,37,21,0,0
ResUNet + LHFC,large,26,25,1,25,0,0,0.9615384615384616,0.038461538461538464,0.8581320932954272,0.8251270127840645,25,37,12,0,0
ResUNet + LHFC,all,93,52,41,52,103,51,0.5591397849462365,0.44086021505376344,0.7409911493504151,0.41431763189485576,37,37,0,0,0
ResUNet + LHFC + ABS (λ_b = 0.1),small,31,3,28,3,0,0,0.0967741935483871,0.9032258064516129,0.5766517433184101,0.05580500741791065,14,37,23,0,0
ResUNet + LHFC + ABS (λ_b = 0.1),medium,36,23,13,23,0,0,0.6388888888888888,0.3611111111111111,0.6559493686611788,0.4190787633113088,16,37,21,0,0
ResUNet + LHFC + ABS (λ_b = 0.1),large,26,25,1,25,0,0,0.9615384615384616,0.038461538461538464,0.8434102453195669,0.8109713897303528,25,37,12,0,0
ResUNet + LHFC + ABS (λ_b = 0.1),all,93,51,42,51,100,49,0.5483870967741935,0.45161290322580644,0.7431773890617945,0.4075488907758228,37,37,0,0,0
AFBMS-ResUNet,small,31,2,29,2,0,0,0.06451612903225806,0.9354838709677419,0.3647058823529412,0.023529411764705885,14,37,23,0,0
AFBMS-ResUNet,medium,36,21,15,21,0,0,0.5833333333333334,0.4166666666666667,0.6918268129608199,0.4035656408938116,16,37,21,0,0
AFBMS-ResUNet,large,26,26,0,26,0,0,1.0,0.0,0.8188319016866998,0.8188319016866998,25,37,12,0,0
AFBMS-ResUNet,all,93,49,44,49,89,40,0.5268817204301075,0.4731182795698925,0.7458653934844346,0.392982841728358,37,37,0,0,0
ResUNet + LHFC + ABS (λ_b = 0.05),small,31,3,28,3,0,0,0.0967741935483871,0.9032258064516129,0.29056391076961036,0.028119088138994552,14,37,23,0,0
ResUNet + LHFC + ABS (λ_b = 0.05),medium,36,24,12,24,0,0,0.6666666666666666,0.3333333333333333,0.6378150094344338,0.4252100062896226,16,37,21,0,0
ResUNet + LHFC + ABS (λ_b = 0.05),large,26,25,1,25,0,0,0.9615384615384616,0.038461538461538464,0.8445759186313038,0.8120922294531767,25,37,12,0,0
ResUNet + LHFC + ABS (λ_b = 0.05),all,93,52,41,52,116,64,0.5591397849462365,0.44086021505376344,0.7171855754714969,0.40100698843567567,37,37,0,0,0
