lesion_voxels,lesion_count,cumulative_count,cumulative_fraction,stratum
10,17,17,0.030141843971631204,small
11,17,34,0.06028368794326241,small
12,13,47,0.08333333333333333,small
13,8,55,0.0975177304964539,small
14,11,66,0.11702127659574468,small
15,7,73,0.12943262411347517,small
16,6,79,0.1400709219858156,small
17,5,84,0.14893617021276595,small
18,10,94,0.16666666666666666,small
19,3,97,0.17198581560283688,small
20,11,108,0.19148936170212766,small
21,4,112,0.19858156028368795,small
22,5,117,0.2074468085106383,small
23,6,123,0.21808510638297873,small
24,6,129,0.22872340425531915,small
25,4,133,0.23581560283687944,small
26,3,136,0.24113475177304963,small
27,12,148,0.2624113475177305,small
28,3,151,0.26773049645390073,small
29,8,159,0.28191489361702127,small
30,4,163,0.28900709219858156,small
31,2,165,0.2925531914893617,small
32,2,167,0.29609929078014185,small
33,2,169,0.299645390070922,small
34,1,170,0.30141843971631205,small
35,1,171,0.30319148936170215,small
36,2,173,0.3067375886524823,small
37,3,176,0.3120567375886525,small
39,2,178,0.31560283687943264,small
40,3,181,0.32092198581560283,small
41,2,183,0.324468085106383,small
42,1,184,0.3262411347517731,small
43,2,186,0.32978723404255317,small
44,2,188,0.3333333333333333,small
45,1,189,0.3351063829787234,medium
46,3,192,0.3404255319148936,medium
47,2,194,0.34397163120567376,medium
48,3,197,0.34929078014184395,medium
51,1,198,0.35106382978723405,medium
52,1,199,0.3528368794326241,medium
53,1,200,0.3546099290780142,medium
55,1,201,0.35638297872340424,medium
57,2,203,0.3599290780141844,medium
58,2,205,0.36347517730496454,medium
61,2,207,0.3670212765957447,medium
62,2,209,0.37056737588652483,medium
63,1,210,0.3723404255319149,medium
64,2,212,0.375886524822695,medium
66,1,213,0.3776595744680851,medium
67,2,215,0.38120567375886527,medium
70,1,216,0.3829787234042553,medium
73,1,217,0.38475177304964536,medium
74,4,221,0.39184397163120566,medium
75,1,222,0.39361702127659576,medium
76,1,223,0.3953900709219858,medium
78,1,224,0.3971631205673759,medium
79,1,225,0.39893617021276595,medium
81,3,228,0.40425531914893614,medium
87,1,229,0.40602836879432624,medium
88,1,230,0.4078014184397163,medium
90,1,231,0.4095744680851064,medium
91,3,234,0.4148936170212766,medium
94,2,236,0.41843971631205673,medium
100,1,237,0.42021276595744683,medium
102,1,238,0.4219858156028369,medium
103,1,239,0.4237588652482269,medium
104,2,241,0.42730496453900707,medium
106,2,243,0.4308510638297872,medium
108,2,245,0.43439716312056736,medium
109,1,246,0.43617021276595747,medium
113,1,247,0.4379432624113475,medium
114,1,248,0.4397163120567376,medium
115,1,249,0.44148936170212766,medium
119,2,251,0.4450354609929078,medium
122,1,252,0.44680851063829785,medium
124,1,253,0.44858156028368795,medium
129,1,254,0.450354609929078,medium
130,1,255,0.4521276595744681,medium
132,1,256,0.45390070921985815,medium
137,1,257,0.45567375886524825,medium
144,2,259,0.4592198581560284,medium
146,2,261,0.4627659574468085,medium
154,1,262,0.4645390070921986,medium
156,2,264,0.46808510638297873,medium
158,1,265,0.4698581560283688,medium
164,1,266,0.4716312056737589,medium
165,1,267,0.4734042553191489,medium
170,1,268,0.475177304964539,medium
174,1,269,0.4769503546099291,medium
176,1,270,0.4787234042553192,medium
181,1,271,0.4804964539007092,medium
189,1,272,0.48226950354609927,medium
200,1,273,0.48404255319148937,medium
204,1,274,0.4858156028368794,medium
215,1,275,0.4875886524822695,medium
217,1,276,0.48936170212765956,medium
229,1,277,0.49113475177304966,medium
232,2,279,0.4946808510638298,medium
239,1,280,0.49645390070921985,medium
241,2,282,0.5,medium
242,1,283,0.50177304964539,medium
248,1,284,0.5035460992907801,medium
254,1,285,0.5053191489361702,medium
271,1,286,0.5070921985815603,medium
275,1,287,0.5088652482269503,medium
276,1,288,0.5106382978723404,medium
279,1,289,0.5124113475177305,medium
287,1,290,0.5141843971631206,medium
305,1,291,0.5159574468085106,medium
318,1,292,0.5177304964539007,medium
319,1,293,0.5195035460992907,medium
353,1,294,0.5212765957446809,medium
354,1,295,0.5230496453900709,medium
363,1,296,0.524822695035461,medium
367,1,297,0.526595744680851,medium
369,1,298,0.5283687943262412,medium
370,1,299,0.5301418439716312,medium
380,1,300,0.5319148936170213,medium
397,1,301,0.5336879432624113,medium
402,2,303,0.5372340425531915,medium
406,1,304,0.5390070921985816,medium
414,1,305,0.5407801418439716,medium
424,1,306,0.5425531914893617,medium
444,1,307,0.5443262411347518,medium
458,1,308,0.5460992907801419,medium
485,1,309,0.5478723404255319,medium
495,1,310,0.549645390070922,medium
499,1,311,0.5514184397163121,medium
505,1,312,0.5531914893617021,medium
540,1,313,0.5549645390070922,medium
543,1,314,0.5567375886524822,medium
544,1,315,0.5585106382978723,medium
561,1,316,0.5602836879432624,medium
593,1,317,0.5620567375886525,medium
618,1,318,0.5638297872340425,medium
645,1,319,0.5656028368794326,medium
658,1,320,0.5673758865248227,medium
670,1,321,0.5691489361702128,medium
674,1,322,0.5709219858156028,medium
688,1,323,0.5726950354609929,medium
690,1,324,0.574468085106383,medium
715,1,325,0.5762411347517731,medium
778,1,326,0.5780141843971631,medium
873,1,327,0.5797872340425532,medium
882,1,328,0.5815602836879432,medium
894,1,329,0.5833333333333334,medium
946,1,330,0.5851063829787234,medium
1035,1,331,0.5868794326241135,medium
1036,1,332,0.5886524822695035,medium
1037,1,333,0.5904255319148937,medium
1076,1,334,0.5921985815602837,medium
1172,1,335,0.5939716312056738,medium
1192,1,336,0.5957446808510638,medium
1247,1,337,0.5975177304964538,medium
1252,1,338,0.599290780141844,medium
1263,1,339,0.601063829787234,medium
1287,1,340,0.6028368794326241,medium
1346,1,341,0.6046099290780141,medium
1369,1,342,0.6063829787234043,medium
1646,1,343,0.6081560283687943,medium
1710,1,344,0.6099290780141844,medium
1711,1,345,0.6117021276595744,medium
1933,1,346,0.6134751773049646,medium
2013,1,347,0.6152482269503546,medium
2051,1,348,0.6170212765957447,medium
2066,1,349,0.6187943262411347,medium
2170,1,350,0.6205673758865248,medium
2184,1,351,0.6223404255319149,medium
2275,1,352,0.624113475177305,medium
2283,1,353,0.625886524822695,medium
2385,1,354,0.6276595744680851,medium
2514,1,355,0.6294326241134752,medium
2553,1,356,0.6312056737588653,medium
2642,1,357,0.6329787234042553,medium
2665,1,358,0.6347517730496454,medium
2755,1,359,0.6365248226950354,medium
2807,1,360,0.6382978723404256,medium
2998,1,361,0.6400709219858156,medium
3321,1,362,0.6418439716312057,medium
3385,1,363,0.6436170212765957,medium
3482,1,364,0.6453900709219859,medium
3549,1,365,0.6471631205673759,medium
3604,1,366,0.648936170212766,medium
3686,1,367,0.650709219858156,medium
3794,1,368,0.6524822695035462,medium
3842,1,369,0.6542553191489362,medium
4180,1,370,0.6560283687943262,medium
4320,1,371,0.6578014184397163,medium
4362,1,372,0.6595744680851063,medium
4462,1,373,0.6613475177304965,medium
4517,1,374,0.6631205673758865,medium
4594,1,375,0.6648936170212766,medium
4678,1,376,0.6666666666666666,medium
4998,1,377,0.6684397163120568,large
5085,1,378,0.6702127659574468,large
5161,1,379,0.6719858156028369,large
5475,1,380,0.6737588652482269,large
5625,1,381,0.675531914893617,large
5701,1,382,0.6773049645390071,large
5843,1,383,0.6790780141843972,large
5932,1,384,0.6808510638297872,large
6030,1,385,0.6826241134751773,large
6046,1,386,0.6843971631205674,large
6450,1,387,0.6861702127659575,large
6525,1,388,0.6879432624113475,large
6642,1,389,0.6897163120567376,large
6658,1,390,0.6914893617021277,large
6674,1,391,0.6932624113475178,large
7100,1,392,0.6950354609929078,large
7126,1,393,0.6968085106382979,large
7167,1,394,0.6985815602836879,large
7185,1,395,0.700354609929078,large
7220,1,396,0.7021276595744681,large
7433,1,397,0.7039007092198581,large
7513,1,398,0.7056737588652482,large
8078,1,399,0.7074468085106383,large
8198,1,400,0.7092198581560284,large
8221,1,401,0.7109929078014184,large
8277,1,402,0.7127659574468085,large
8348,1,403,0.7145390070921985,large
8391,1,404,0.7163120567375887,large
8812,1,405,0.7180851063829787,large
8857,1,406,0.7198581560283688,large
8869,1,407,0.7216312056737588,large
8968,1,408,0.723404255319149,large
8972,2,410,0.7269503546099291,large
8988,1,411,0.7287234042553191,large
8994,1,412,0.7304964539007093,large
9134,1,413,0.7322695035460993,large
9460,1,414,0.7340425531914894,large
