model,stratum,gt_lesions,detected,missed,matched_pairs,pred_lesions,fp,lesion_recall,miss_rate,matched_lesion_dice,gt_anchored_lesion_dice,n_cases_with_gt,n_cases_evaluated,n_gt_empty_cases,n_fp_only_cases,n_true_negative_cases
ResUNet (BCE–Dice),small,17,1,16,1,0,0,0.058823529411764705,0.9411764705882353,0.4406779661016949,0.0259222333000997,11,37,26,0,0
ResUNet (BCE–Dice),medium,19,14,5,14,0,0,0.7368421052631579,0.2631578947368421,0.8158725035901966,0.6011692131717238,15,37,22,0,0
ResUNet (BCE–Dice),large,25,25,0,25,0,0,1.0,0.0,0.9027623146722606,0.9027623146722606,25,37,12,0,0
ResUNet (BCE–Dice),all,61,40,21,40,116,76,0.6557377049180327,0.3442622950819672,0.860798772079274,0.564458211199524,37,37,0,0,0
ResUNet + LHFC,small,17,1,16,1,0,0,0.058823529411764705,0.9411764705882353,0.3684210526315789,0.021671826625386997,11,37,26,0,0
ResUNet + LHFC,medium,19,16,3,16,0,0,0.8421052631578947,0.15789473684210525,0.7792143489230705,0.65618050435627,15,37,22,0,0
ResUNet + LHFC,large,25,25,0,25,0,0,1.0,0.0,0.8823082254372026,0.8823082254372026,25,37,12,0,0
ResUNet + LHFC,all,61,42,19,42,126,84,0.6885245901639344,0.3114754098360656,0.8307989588412089,0.5720255126447668,37,37,0,0,0
ResUNet + LHFC + ABS (λ_b = 0.1),small,17,1,16,1,0,0,0.058823529411764705,0.9411764705882353,0.3191489361702128,0.01877346683354193,11,37,26,0,0
ResUNet + LHFC + ABS (λ_b = 0.1),medium,19,16,3,16,0,0,0.8421052631578947,0.15789473684210525,0.8039195198247088,0.6769848587997548,15,37,22,0,0
ResUNet + LHFC + ABS (λ_b = 0.1),large,25,25,0,25,0,0,1.0,0.0,0.8959409101805054,0.8959409101805054,25,37,12,0,0
ResUNet + LHFC + ABS (λ_b = 0.1),all,61,42,19,42,149,107,0.6885245901639344,0.3114754098360656,0.8471520001875761,0.583284983735708,37,37,0,0,0
AFBMS-ResUNet,small,17,1,16,1,0,0,0.058823529411764705,0.9411764705882353,0.297029702970297,0.017472335468841,11,37,26,0,0
AFBMS-ResUNet,medium,19,16,3,16,0,0,0.8421052631578947,0.15789473684210525,0.7828240090072645,0.6592202181113805,15,37,22,0,0
AFBMS-ResUNet,large,25,25,0,25,0,0,1.0,0.0,0.9120234996948171,0.9120234996948171,25,37,12,0,0
AFBMS-ResUNet,all,61,42,19,42,130,88,0.6885245901639344,0.3114754098360656,0.8481619366537371,0.5839803498271632,37,37,0,0,0
ResUNet + LHFC + ABS (λ_b = 0.05),small,17,1,16,1,0,0,0.058823529411764705,0.9411764705882353,0.297029702970297,0.017472335468841,11,37,26,0,0
ResUNet + LHFC + ABS (λ_b = 0.05),medium,19,15,4,15,0,0,0.7894736842105263,0.21052631578947367,0.7975801178970223,0.6296685141292281,15,37,22,0,0
ResUNet + LHFC + ABS (λ_b = 0.05),large,25,25,0,25,0,0,1.0,0.0,0.9154884045711148,0.9154884045711148,25,37,12,0,0
ResUNet + LHFC + ABS (λ_b = 0.05),all,61,41,20,41,133,92,0.6721311475409836,0.32786885245901637,0.8572668679439878,0.5761957637000573,37,37,0,0,0
