Model,Category,Checkpoint_Epoch,n_params,inference_time_s,WT_Accuracy,WT_Precision,WT_Recall,WT_F1,TC_Accuracy,TC_Precision,TC_Recall,TC_F1,ET_Accuracy,ET_Precision,ET_Recall,ET_F1,WT_Dice,WT_Jaccard,TC_Dice,TC_Jaccard,ET_Dice,ET_Jaccard,ET_HD95_mean,ET_NSD_mean,TC_HD95_mean,TC_NSD_mean,ET_Recall_mean,ET_Precision_mean,Lesion_Recall_mean,Lesion_Precision_mean,Overall_lesion_recall,Small_case_ET_Dice_mean,Total_Epochs,Best_Epoch,Train_Time_per_Epoch_s,Valid_Time_per_Epoch_s,Total_Train_Time_h
Baseline (BCEDice),Baseline,132,5763867,0.088,0.9932,0.8757,0.9315,0.9027,0.9957,0.8126,0.8571,0.8343,0.9980,0.8558,0.8253,0.8403,0.8860 ± 0.0732,0.8096 ± 0.1126,0.8175 ± 0.1527,0.7182 ± 0.1927,0.7585 ± 0.2409,0.6483 ± 0.2436,10.2594,0.7503,9.0201,0.6447,0.7775,0.7825,0.7181,0.8078,0.5508,0.6212,199,132,124.7,25.4,6.89
λb=0.1 (Dice+CE+0.1·BD),V1: Loss Function,33,5763867,0.088,0.9936,0.8891,0.9245,0.9065,0.9957,0.8110,0.8609,0.8352,0.9981,0.8659,0.8312,0.8482,0.8919 ± 0.0685,0.8160 ± 0.1082,0.8215 ± 0.1444,0.7246 ± 0.1866,0.7657 ± 0.2440,0.6569 ± 0.2439,9.7486,0.7712,8.8082,0.6526,0.7837,0.7890,0.7090,0.8215,0.5424,0.6284,58,34,357.0,86.0,5.75
λb=0.3 (Dice+CE+0.3·BD),V1: Loss Function,93,5763867,0.088,0.9925,0.8734,0.9105,0.8915,0.9953,0.7973,0.8475,0.8216,0.9981,0.8412,0.8596,0.8503,0.8697 ± 0.1579,0.8004 ± 0.1657,0.7896 ± 0.2137,0.6999 ± 0.2372,0.7793 ± 0.2282,0.6784 ± 0.2368,9.5665,0.7860,8.9344,0.6560,0.8245,0.7633,0.7771,0.9378,0.6186,0.6730,118,93,354.7,86.9,11.63
λb=0.5 (Dice+CE+0.5·BD),V1: Loss Function,29,5763867,0.088,0.9926,0.8770,0.9068,0.8917,0.9952,0.7956,0.8344,0.8145,0.9981,0.8569,0.8401,0.8484,0.8692 ± 0.1389,0.7950 ± 0.1629,0.7986 ± 0.1977,0.7067 ± 0.2215,0.7631 ± 0.2514,0.6584 ± 0.2444,9.5777,0.7627,9.9028,0.6417,0.7896,0.7886,0.7090,0.8963,0.5424,0.6171,54,29,347.1,85.3,5.21
"Edge (Sobel, concat)",V2: Architecture,60,6293307,0.128,0.9932,0.8882,0.9120,0.9000,0.9950,0.7831,0.8409,0.8110,0.9980,0.8607,0.8174,0.8385,0.8814 ± 0.1025,0.8058 ± 0.1442,0.7992 ± 0.1695,0.6970 ± 0.2087,0.7672 ± 0.2226,0.6516 ± 0.2267,7.6132,0.7751,9.4422,0.6265,0.7773,0.8081,0.7436,0.8859,0.5847,0.6628,85,64,161.4,31.1,3.81
"Edge (Sobel, add)",V2: Architecture,59,5950779,0.11,0.9938,0.8903,0.9323,0.9108,0.9956,0.8037,0.8700,0.8355,0.9981,0.8694,0.8206,0.8443,0.8955 ± 0.0665,0.8223 ± 0.1055,0.8230 ± 0.1426,0.7279 ± 0.1816,0.7649 ± 0.2374,0.6541 ± 0.2386,10.0599,0.7661,11.1198,0.6491,0.7757,0.7942,0.7361,0.8843,0.5678,0.6332,84,59,149.6,29.1,3.49
"Edge (Laplacian, concat)",V2: Architecture,55,6293307,0.122,0.9930,0.8934,0.9013,0.8973,0.9955,0.8168,0.8359,0.8262,0.9982,0.8712,0.8360,0.8532,0.8721 ± 0.1594,0.8034 ± 0.1712,0.7973 ± 0.2007,0.7044 ± 0.2230,0.7814 ± 0.2217,0.6738 ± 0.2275,7.3636,0.8198,11.6448,0.6395,0.7955,0.8161,0.7520,0.7834,0.6017,0.6716,80,55,159.6,30.5,3.55
"HF Boundary (Laplacian, w=0.2)",V2: Architecture,53,5779662,0.107,0.9937,0.8933,0.9234,0.9081,0.9956,0.8074,0.8601,0.8329,0.9981,0.8729,0.8260,0.8488,0.8934 ± 0.0661,0.8183 ± 0.1060,0.8144 ± 0.1596,0.7172 ± 0.1996,0.7768 ± 0.2264,0.6661 ± 0.2332,9.6287,0.7873,9.1042,0.6517,0.7854,0.7971,0.7271,0.9119,0.5593,0.6717,78,54,160.4,30.0,3.48
"HF Boundary+ (Laplacian, w=0.3)",V2: Architecture,10,5779662,0.107,0.9933,0.8747,0.9344,0.9036,0.9955,0.8003,0.8595,0.8288,0.9981,0.8647,0.8252,0.8445,0.8896 ± 0.0644,0.8148 ± 0.0994,0.7990 ± 0.1842,0.7011 ± 0.2201,0.7673 ± 0.2301,0.6562 ± 0.2368,10.4024,0.7685,9.4277,0.6269,0.7835,0.7800,0.7406,0.7803,0.5763,0.6410,35,10,177.3,31.9,1.72
FG Sampling (4-strategy),SLA-FB: Data,10,5763867,0.088,0.9928,0.8625,0.9358,0.8976,0.9950,0.7590,0.8895,0.8191,0.9978,0.8271,0.8265,0.8268,0.8822 ± 0.0933,0.8089 ± 0.1254,0.7974 ± 0.1825,0.7050 ± 0.2140,0.7547 ± 0.2373,0.6488 ± 0.2318,9.8352,0.7532,10.9147,0.6171,0.7945,0.7437,0.7337,0.7157,0.5678,0.6362,35,10,90.2,26.5,0.88
CC-Dice Loss,SLA-FB: Loss,1,5763867,0.088,0.9923,0.8689,0.9088,0.8884,0.9946,0.7577,0.8524,0.8022,0.9938,0.5065,0.9624,0.6636,0.8761 ± 0.0855,0.7936 ± 0.1274,0.7765 ± 0.1965,0.6767 ± 0.2257,0.6115 ± 0.2309,0.5191 ± 0.2244,20.0516,0.4081,12.9586,0.5823,0.9557,0.4833,0.9328,0.4111,0.9237,0.4381,26,1,160.2,32.1,1.16
PM-Dice Loss (γ=2),SLA-FB: Loss,2,5763867,0.088,0.9906,0.8216,0.9221,0.8689,0.9922,0.6374,0.9080,0.7490,0.9966,0.6736,0.8992,0.7702,0.8601 ± 0.0835,0.7773 ± 0.1264,0.7454 ± 0.2105,0.6619 ± 0.2282,0.7049 ± 0.2696,0.6309 ± 0.2634,13.8238,0.6410,12.3839,0.5044,0.8959,0.6254,0.8421,0.7306,0.8136,0.5395,27,2,141.1,27.8,1.06
BCE+CC-Dice (no Global Dice),SLA-FB: Loss,4,5763867,0.088,0.9918,0.8367,0.9414,0.8860,0.9927,0.6554,0.9080,0.7613,0.9685,0.1666,0.9979,0.2856,0.8708 ± 0.0748,0.8006 ± 0.1153,0.7211 ± 0.2141,0.6577 ± 0.2164,0.2842 ± 0.1773,0.2357 ± 0.1626,31.4814,0.0527,11.9376,0.4516,0.9977,0.1786,0.9932,1.0204,0.9915,0.1101,29,4,156.2,31.3,1.26
BCE+PM-Dice (no Global Dice),SLA-FB: Loss,22,5763867,0.088,0.9884,0.7666,0.9424,0.8455,0.9930,0.6664,0.8985,0.7652,0.9963,0.6409,0.9267,0.7577,0.8199 ± 0.1556,0.7964 ± 0.1667,0.7402 ± 0.2278,0.7042 ± 0.2194,0.6891 ± 0.2662,0.6758 ± 0.2355,11.3369,0.6091,10.5035,0.5063,0.9201,0.5922,0.8681,0.7316,0.8305,0.5440,47,22,138.1,27.2,1.80
Full (Global+CC+PM),SLA-FB: Loss,11,5763867,0.088,0.9908,0.8262,0.9227,0.8717,0.9937,0.7030,0.8689,0.7772,0.9922,0.4440,0.9347,0.6021,0.8514 ± 0.1482,0.7829 ± 0.1674,0.7527 ± 0.2120,0.6675 ± 0.2401,0.6260 ± 0.2832,0.5523 ± 0.2761,17.7689,0.5040,10.6821,0.5064,0.9454,0.5329,0.9154,0.4786,0.8729,0.4474,36,11,156.7,31.9,1.57
