lesion_voxels,lesion_count,cumulative_count,cumulative_fraction
10,21,21,0.02880658436213992
11,13,34,0.04663923182441701
12,11,45,0.06172839506172839
13,7,52,0.07133058984910837
14,12,64,0.0877914951989026
15,9,73,0.10013717421124829
16,7,80,0.10973936899862825
17,12,92,0.1262002743484225
18,12,104,0.14266117969821673
19,7,111,0.1522633744855967
20,4,115,0.15775034293552812
21,1,116,0.15912208504801098
22,5,121,0.16598079561042525
23,11,132,0.18106995884773663
24,9,141,0.1934156378600823
25,7,148,0.2030178326474623
26,3,151,0.20713305898491083
27,2,153,0.20987654320987653
28,4,157,0.21536351165980797
29,3,160,0.2194787379972565
30,2,162,0.2222222222222222
31,4,166,0.22770919067215364
32,4,170,0.23319615912208505
34,4,174,0.23868312757201646
35,4,178,0.24417009602194786
36,1,179,0.24554183813443073
37,2,181,0.24828532235939643
38,1,182,0.2496570644718793
39,3,185,0.25377229080932784
40,2,187,0.25651577503429357
42,3,190,0.2606310013717421
43,2,192,0.26337448559670784
44,3,195,0.2674897119341564
45,5,200,0.27434842249657065
47,1,201,0.2757201646090535
48,2,203,0.2784636488340192
49,2,205,0.2812071330589849
50,3,208,0.28532235939643347
51,3,211,0.289437585733882
52,3,214,0.2935528120713306
53,3,217,0.29766803840877915
54,3,220,0.3017832647462277
55,1,221,0.30315500685871055
56,1,222,0.3045267489711934
58,2,224,0.30727023319615915
60,2,226,0.3100137174211248
62,2,228,0.31275720164609055
63,1,229,0.31412894375857336
64,4,233,0.3196159122085048
66,1,234,0.32098765432098764
68,2,236,0.32373113854595337
69,3,239,0.3278463648834019
71,1,240,0.3292181069958848
72,3,243,0.3333333333333333
73,1,244,0.3347050754458162
74,1,245,0.33607681755829905
75,1,246,0.3374485596707819
76,3,249,0.34156378600823045
77,1,250,0.3429355281207133
79,1,251,0.3443072702331962
80,1,252,0.345679012345679
81,1,253,0.34705075445816186
82,1,254,0.3484224965706447
83,1,255,0.3497942386831276
85,1,256,0.3511659807956104
88,1,257,0.35253772290809327
91,1,258,0.35390946502057613
94,1,259,0.355281207133059
97,1,260,0.35665294924554186
98,1,261,0.35802469135802467
99,2,263,0.3607681755829904
100,1,264,0.36213991769547327
101,1,265,0.3635116598079561
102,1,266,0.36488340192043894
103,1,267,0.3662551440329218
105,1,268,0.3676268861454047
110,1,269,0.36899862825788754
111,2,271,0.3717421124828532
113,1,272,0.3731138545953361
116,1,273,0.37448559670781895
130,1,274,0.37585733882030176
139,1,275,0.3772290809327846
141,1,276,0.3786008230452675
144,1,277,0.37997256515775035
147,1,278,0.3813443072702332
149,1,279,0.38271604938271603
153,1,280,0.3840877914951989
158,1,281,0.38545953360768176
160,3,284,0.3895747599451303
162,1,285,0.39094650205761317
164,1,286,0.39231824417009603
170,1,287,0.3936899862825789
171,1,288,0.3950617283950617
172,1,289,0.39643347050754457
173,2,291,0.3991769547325103
190,1,292,0.40054869684499317
191,1,293,0.401920438957476
202,2,295,0.4046639231824417
206,1,296,0.4060356652949246
210,1,297,0.4074074074074074
239,1,298,0.40877914951989025
254,1,299,0.4101508916323731
255,1,300,0.411522633744856
259,1,301,0.41289437585733885
278,1,302,0.41426611796982166
284,1,303,0.4156378600823045
288,1,304,0.4170096021947874
293,1,305,0.41838134430727025
302,1,306,0.41975308641975306
318,1,307,0.42112482853223593
335,1,308,0.4224965706447188
356,1,309,0.42386831275720166
380,1,310,0.4252400548696845
402,1,311,0.42661179698216734
450,1,312,0.4279835390946502
472,1,313,0.42935528120713307
473,1,314,0.43072702331961593
495,1,315,0.43209876543209874
497,1,316,0.4334705075445816
500,1,317,0.4348422496570645
562,1,318,0.43621399176954734
569,1,319,0.4375857338820302
586,1,320,0.438957475994513
595,1,321,0.4403292181069959
616,1,322,0.44170096021947874
671,1,323,0.4430727023319616
728,1,324,0.4444444444444444
740,1,325,0.4458161865569273
762,1,326,0.44718792866941015
774,1,327,0.448559670781893
830,1,328,0.4499314128943759
901,1,329,0.4513031550068587
1076,1,330,0.45267489711934156
1121,1,331,0.4540466392318244
1247,1,332,0.4554183813443073
1383,1,333,0.4567901234567901
1431,1,334,0.45816186556927296
1464,1,335,0.45953360768175583
1679,1,336,0.4609053497942387
1813,1,337,0.46227709190672156
2626,1,338,0.46364883401920437
2900,1,339,0.46502057613168724
2989,1,340,0.4663923182441701
3010,1,341,0.46776406035665297
3097,1,342,0.4691358024691358
3132,1,343,0.47050754458161864
3414,1,344,0.4718792866941015
3552,1,345,0.4732510288065844
3635,1,346,0.47462277091906724
4581,1,347,0.47599451303155005
5595,1,348,0.4773662551440329
5748,1,349,0.4787379972565158
6127,1,350,0.48010973936899864
6727,1,351,0.48148148148148145
6915,1,352,0.4828532235939643
7285,1,353,0.4842249657064472
7369,1,354,0.48559670781893005
7511,1,355,0.4869684499314129
9934,1,356,0.4883401920438957
11632,1,357,0.4897119341563786
11998,1,358,0.49108367626886146
12402,1,359,0.4924554183813443
12947,1,360,0.49382716049382713
12969,1,361,0.49519890260631
13296,1,362,0.49657064471879286
14353,1,363,0.49794238683127573
14824,1,364,0.4993141289437586
15048,1,365,0.5006858710562414
15501,1,366,0.5020576131687243
16585,1,367,0.5034293552812071
16748,1,368,0.50480109739369
17079,1,369,0.5061728395061729
17231,1,370,0.5075445816186557
17699,1,371,0.5089163237311386
17886,1,372,0.5102880658436214
18890,1,373,0.5116598079561042
19074,1,374,0.5130315500685871
20422,1,375,0.51440329218107
20450,1,376,0.5157750342935528
20724,1,377,0.5171467764060357
20752,1,378,0.5185185185185185
20868,1,379,0.5198902606310014
20907,1,380,0.5212620027434842
21615,1,381,0.522633744855967
21815,1,382,0.52400548696845
21894,1,383,0.5253772290809328
21969,1,384,0.5267489711934157
22438,1,385,0.5281207133058985
23430,1,386,0.5294924554183813
23776,1,387,0.5308641975308642
24141,1,388,0.532235939643347
24434,1,389,0.53360768175583
24780,1,390,0.5349794238683128
25274,1,391,0.5363511659807956
25288,1,392,0.5377229080932785
